Action_Theme,Broad_Action,Habitat,Species,Method,Description,Source,Link
Management,Manage in a biodiversity-friendly way - creating space for biodiversity,Grassland,Birds,Manage ditches to benefit wildlife,"Managing ditches involes delaying cutting of vegetation on ditch banks and restrcited fertiliser, herbicide or pesticide use on ditch banks or in field adjoining ditches.",Bird Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=43
Management,Encourage farmers to engage with biodiversity-friendly management,Grassland,Birds,Protect in-field trees,Retain in-field trees and developing agro-forestry systems ,Bird Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=43
Habitat Creation ,Create pockets of new habitat throughout the site,Grassland,Birds,Plant wild seed or cover mixture,"Plants that provide seed food for wild birds include maize, sunflower and cereals, which can be planted in blocks or 6 m wide strips or juveniles and are sometimes called wild bird cover, 'game crops' or 'game cover crops'. ",Bird Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=43
Habitat Creation ,Create pockets of new habitat throughout the site,Grassland,Birds,Plant nectar flower mixture/wildlife strips,"Flowering plants are sown in strips or blocks, for bees and other flower-visting insects. Nectar flower mixture can include agricultural varieties of flowering plants such as clovers",Bird Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=43
Habitat Creation ,Create pockets of new habitat throughout the site,Grassland,Birds,Create uncultivated margins around intensive arable or pasture fields,"Allow field margin vegetation to regenerate naturally, not fertilised and reduce cutting, although it can involve subsequent mowing. ",Bird Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=43
Management,Manage in a positive way for native species,Grassland,Birds,Use mowing techniques to reduce chick mortality,"Use wildlife-friendly mowing techniques, such as beginning mowing in the middle of fields outwards so that nesting  birds can escape to field margins",Bird Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=43
Management,Manage in a positive way for native species,Grassland,Birds,Provide refuges in fields during harvest or mowing,"During mowing and harvesting operations, leaving unharvested refuges provides ground-nesting birds and their chicks a better chance of survival",Bird Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=43
Habitat Creation ,Create pockets of new habitat throughout the site,Grassland,Birds,Take field corners out of management,"Field corners can be taken out of management on both arable and livestock farms - e.g., Hare's Corner",Bird Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=43
Management,Encourage farmers to engage with biodiversity-friendly management,Grassland,Birds,Increase crop diversity across a farm or farmed landscape,Increasing the range of different crops grown in a given year may increase the biological value of a farm by increasing farmland heterogeneity,Bird Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=43
Management,Encourage farmers to engage with biodiversity-friendly management,Grassland,Birds,"Undersow spring cereals, with clover (ex.)",Undersow cereals with plants such as clover which fix nitrogen and reduce the need to apply fertiliser - while also providing food resources for invertebrates,Bird Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=43
Management,Encourage farmers to engage with biodiversity-friendly management,Grassland,Birds,Plant more than one crop per field (intercropping),Planting more than one crop in each field increases habitat heterogeneity at a smaller scale than increasing crop diversity at a landscape scale.,Bird Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=43
Management,Encourage farmers to engage with biodiversity-friendly management,Grassland,Birds,Reduce tillage,"Conventional ploughing can damage soil structure and potentially reduce the abundance of soil invertebrates. This intervention can include layered cultivation, non-inversion tillage and conservation tillage. ",Bird Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=43
Management,Manage in a positive way for native species,Grassland,Birds,Create skylark plots,Skylarks require short vegetation to nest in and skylark plots are small (usually 4-16m2) undrilled patches within cereal fields that provide this with little impact on overall yield. ,Bird Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=43
Habitat Creation ,Create pockets of new habitat throughout the site,Grassland,Birds,Create beetle banks,"Beetle banks are grassy mounds, about 2 m wide that run across the middle of large arable fields. They provide habitat for predatory insects that could provide foraging habitats for birds",Bird Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=43
Management,Manage in a positive way for native species,Grassland,Birds,"Maintain species-rich, semi-natural grassland",Low-intensity management of grasslands has produced some of the most species-rich habitats. This includes attempting to replicate traditional management.,Bird Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=43
Management,Manage in a positive way for native species,Grassland,Birds,Reduce management intensity on permanent grasslands,"This can involve reducing or stopping the use of fertilisers, herbicides, and pesticides; delaying the mowing date; reducing the number of cuttings taken. ",Bird Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=43
Management,Manage in a positive way for native species,Grassland,Birds,Reduce grazing intensity,Reducing the grazing intensity may reduce the damage to vegetation and can also help reduce disturbance to birds and accidental loss of nests,Bird Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=43
Management,Manage in a positive way for native species,Grassland,Birds,Provide short grass for waders,Retain smaller areas for waders where there are requirements for wader habitats,Bird Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=43
Management,Manage in a positive way for native species,Grassland,Birds,Raise mowing height on grasslands,"High vegetation can provide more complex environments and more habitats but cut short vegetation can allow birds access to the ground which can help foraging, and can reduce the risk of predation.",Bird Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=43
Management,Manage in a positive way for native species,Grassland,Birds,Delay mowing or first grazing date on grasslands,"Early season mowing can cause death of young chicks of ground-nesting birds, delaying mowing until after chicks can escape is therefore a part of many agri-environment schemes.",Bird Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=43
Management,Manage in a positive way for native species,Grassland,Birds,Leave uncut rye grass in silage fields,"Rye grass, Lolium perenne, seeds are a potential food source, but cutting rye grass fields multiple times a year for silage removes seed heads before they can ripen and so reduces the food available to birds the following winter. Leaving fields or plots uncut may therefore provide valuable overwinter food. ",Bird Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=43
Management,Encourage farmers to engage with biodiversity-friendly management,Grassland,Birds,Plant cereals for whole crop silage,"Cereal-based wholecrop silage (CBWCS) is an intervention that involves growing crops, not grass, to turn into silage. This may provide seed resources for grain-eating farmland birds throughout the year. ",Bird Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=43
Management,Manage in a positive way for native species,Peatland,Birds,Maintain upland heath,"Upland heath is maintained though enclosed grazing. This intervention includes grazing on acid grassland, dry and wet upland heath",Bird Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=43
Management,Manage in a positive way for native species,Woodland,Birds,Thin trees within forests,Selective removal of trees to reduce tree density & improve growth of remaining trees. Benefits biodiversity by removing some of the canopy.,Bird Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=43
Management,Manage in a positive way for native species,Woodland,Birds,Coppice woodland,"Coppicing is a traditional woodland management technique, used to harvest the young, fast-growing stems of particular tree species (e.g., hazel). Repeatedly fell trees at the base and allow them to regrow for a number of years.",Bird Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=43
Management,Manage in a positive way for native species,Woodland,Birds,Manage woodland edges for birds,Manage woodland edges in a biodiversity-friendly way,Bird Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=43
Management,Manage in a positive way for native species,All,Bats,Change timing of building work,"Building work should be avoided at times of year when they are most vulnerable, such as during hibernation and the maternity season",Bat Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=14
Habitat Creation ,Create habitat corridors between existing habitats,All,Bats,Create or restore bat foraging habitat in urban areas,Providing foraging habitat for bats in urban areas may reduce the impact of residential and commercial development - existing foraging sites may be protected or replaced with suitable alternatives. Could be done off-site within the local community for WFs.,Bat Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=14
Management,Encourage farmers to engage with biodiversity-friendly management,Grassland,Bats,Engage farmers and landowners to manage land for bats,"Land outside of turbines, landowners could be engaged so that they manage their land in ways that help maintain bat populations. This may be done by providing advice and support to farmers on how to manage their land specifically for bats. ",Bat Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=14
Management,Manage in a positive way for native species,Grassland,Bats,Provide or retain set-aside areas in farmland,Allocation of some fields taken out of production was compulsory under European Agricultural Policy from 1992 until 2008,Bat Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=14
Habitat Creation ,Create habitat corridors between existing habitats,Grassland,Bats,Reduce field size (or maintain small fields),"Reducing field size or maintaining small field sizes increases field boundaries and field margins, increasing the density of linear features (hedgerows). But this would need to be away from the turbines.",Bat Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=14
Management,Manage in a positive way for native species,Grassland,Bats,Retain unmown field margins,Field margins can provide foraging habitat for bats by increasing invertebrate prey. This would need to be away from turbines and alongside flight paths (linear features),Bat Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=14
Management,Manage hedgerows in a biodiversity-friendly manner,Grassland,Bats,Manage hedges to benefit bats,"Bats prefer taller, wider, structurally diverse hedgerows and those with emergent trees. Reducing the cutting frequency and retaining trees, minimising pesticides and filling gaps are likely to benefit. Would need to be on site perimeter away from turbines.",Bat Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=14
Management,Manage in a biodiversity-friendly way - creating space for biodiversity,Grassland,Bats,Retain remnant forest or woodland on agricultural land,Remnant woodland fragments may be important for bats in agricultural landscapes. Need to be sufficiently away from turbines or flight paths that lead to turbines,Bat Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=14
Management,Manage in a biodiversity-friendly way - creating space for biodiversity,Grassland,Bats,Retain riparian buffer stips on agricultural land,"Retain buffers of woodland, forest or other vegetation along streams and rivers",Bat Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=14
Management,Manage in a positive way for native species,All,Bats,Apply a textured coating to turbines,Applying a textured coating could reduce bat collisions as bats approach textured surfaces less often than smooth surfaces - mixed results.,Bat Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=14
Management,Manage in a positive way for native species,All,Bats,Deter bats from turbines using ultraound,Broadcasting ultrasonic sounds at the frequency range which bats use for echolocation may act as a deterrent by interfering with their ability to perceive echos. ,Bat Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=14
Management,Manage in a positive way for native species,All,Bats,Retain a buffer between turbines and habitat features used by bats,"Leave a minimum distance between wind turbines and bat roosts or habitat features to create a buffer zone. The EUROBAT guidance on wind turbines and bats recommends a mimum distance of 200 m between wind turbines and important bat habitats. Natural England, UK recommends a minimum distance of 50m from the turbine blade tip and the nearest bat habitat feature. [BCI guidance to be released 2024]",Bat Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=14
Management,Manage in a positive way for native species,All,Bats,Prevent turbine blades from turning at low wind speeds ('feathering'),Feathering is when wind turbine blades are prevented from turning when they are not operational which may protect bat species. Often done in combination with increased cut-in speed,Bat Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=14
Management,Manage in a positive way for native species,All,Bats,Slow rotation of turbines at low wind speeds,Slowing the rotation of turbine blades below the cut-in speed may reduce bat fatalities which are higher at low wind speeds. Feathering preferred but this works as an alternative.,Bat Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=14
Management,Manage in a positive way for native species,All,Bats,Increase the wind speed at which turbines become operational ('cut-in speed'),Cut-in speed at which the turbine begins to generate electricity and the blades can move at a maximum rotation speed. Increasing turbine cut-in speeds (known as 'curtailment') may reduce bat fatalities). ,Bat Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=14
Management,Manage in a positive way for native species,All,Bats,Automatically reduce turbine blade rotation when bat activity is high,Involves the use of automatic bat registration systems to monitor bat activity and shut down operation of wind turbines when bat activity reaches a predetermined 'high' level.,Bat Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=14
Habitat Creation ,Create pockets of new habitat throughout the site,All,Bats,Restore bat foraging habitat at ex-quarry sites,"Abandoned mining sites, such as quarries, may be rehabilitated to provide foraging habitat for bats, e.g., through the restoration of grassland, trees, and wetlands.",Bat Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=14
Management,Manage in a biodiversity-friendly way - creating space for biodiversity,Woodland,Bats,Thin trees within forests,Selective removal of trees to reduce tree density & improve growth of remaining trees. Benefits biodiversity by removing some of the canopy.,Bat Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=14
Management,Manage in a biodiversity-friendly way - creating space for biodiversity,Woodland,Bats,Use selective or reduced impact loggining instead of conventional logging,"Selective removal of trees to reduce tree density & improve growth of remaining trees. Benefits biodiversity by removing some of the canopy. Trees are removed based on the diameter, height, or species. Remaining trees are left in the stand, as opposed to clearcutting where all trees are felled.",Bat Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=14
Management,Manage in a biodiversity-friendly way - creating space for biodiversity,Woodland,Bats,Use shelterwood cutting instead of clearcutting,"The process involves selective removal of the overstorey trees to allow enough light through the forest floor to create new, even-aged stands below. The remaining mature overstorey trees provide seeds for regeneration and create shelter for the younger trees. ",Bat Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=14
Habitat Creation ,Create habitat corridors between existing habitats,Woodland,Bats,Retain forested corridors in logged areas,Retain corridors of unlogged mature forest within logged areas. This may provide foraging and roosting opportunities for bats and maintain connectivity in disturbed landscapes. ,Bat Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=14
Management,Manage in a biodiversity-friendly way - creating space for biodiversity,Woodland,Bats,Retain riparian buffers in logged areas,Retain unlogged buffers along streams and rivers in logged areas. This may provide foraging and roosting opportunities for bats and maintain connectivity in disturbed landscapes. ,Bat Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=14
Management,"Minimise the use of chemical pesticides, insecticides, herbicides, fungicides, rodenticides, etc. on site",All,Bats,"Reduce pesticide, herbicide or fertiliser use",These may degrade bat foraging habitats and reduce the availability of prey. Exposure to contaminants may not only kill bats but also can have serious sub-lethal effects.,Bat Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=14
Management,"Minimise the use of chemical pesticides, insecticides, herbicides, fungicides, rodenticides, etc. on site",All,Bats,Prevent pollution from agricultural land or forestry from entering watercourses,,Bat Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=14
Management,Manage in a positive way for native species,All,Bats,Use low intensity lighting,"Dimming lights, or using low wattage or low insensity lights",Bat Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=14
Habitat Creation ,Create pockets of new habitat throughout the site,Grassland,All,Increase the proportion of natural/semi-natural vegetation in the farmed landscape.,"Protect or create field-margins, ditch banks, hedgerows, woods and ponds",Farmland Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=9
Habitat Creation ,Create pockets of new habitat throughout the site,Grassland,All,Provide or retain set-aside areas in farmland,Set aside can be rotational (in a different place every year or two) or non-roational (same place for 5-20 years) and the fields can either be own with fallow crops or left to naturally regenerate. Set-aside is not ploughed or harrowed except for the purpose of sowing. Set aside can be managed by cutting or can have strips of wildflower or grasses sown in. ,Farmland Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=9
Habitat Creation ,Create habitat corridors between existing habitats,Grassland,All,Connect areas of natural or semi-natural habitat,Create habitat corridors between currently isolated natural/semi-natural habitats or the restoration of natural/semi-natural habitats between existing patches. ,Farmland Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=9
Management,Manage hedgerows in a biodiversity-friendly manner,Grassland,All,Manage hedgerows to benefit wildlife,"Involves reducing the cuting frequency, reducing or avoiding spraying, mowing vegetation beneath hedgerows, fill gaps in hedges, coppice or lay to restore traditional hedge structure.",Farmland Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=9
Management,Manage in a positive way for native species,Grassland,All,Manage ditches to benefit wildlife,"Reduce mowing and grazing regimes and by ditch management practices including cleaning/dredging technique, season and frequency. ",Farmland Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=9
Habitat Creation ,Create habitat corridors between existing habitats,Grassland,All,Plant new hedges,Plant hedges/hedgerows,Farmland Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=9
Management,Manage in a positive way for native species,Grassland,All,Plant wild seed or cover mixture,Wild bird cover crops are often planted in blocks or 6m wide strips and left unharvested. ,Farmland Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=9
Management,Manage in a positive way for native species,Grassland,All,Plant nectar flower mixture/wildlife strips,"Flowering plants are sown in strips or blocks, for bees and other flower-visting insects. Nectar flower mixture can include agricultural varieties of flowering plants such as clovers",Farmland Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=9
Habitat Creation ,Create habitat corridors between existing habitats,Grassland,All,Create uncultivated margins around intensive arable or pasture fields,"Allow the field margin vegetation to regenerate naturally without planting, but it can involve subsequent mowing. Field margins are not fertilised and only spot-treated with herbicides if injurious weeds occur.",Farmland Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=9
Management,Implement nature-based solutions around the site,Grassland,All,Plant grass buffer strips/margins around arable or pasture fields,This involves plantng field margins with a grass-rich seed mixture. It includes floristically-enhanced grass margins. The margins are not fertilised.,Farmland Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=9
Management,Manage areas in a pollinator-friendly manner and report to the AIPP,Grassland,All,Provide nest boxes for bees (solitary bees or bumblebees),"Solitary bee species nest either in cavities such as hollow stems or bored holes in wood or masonary, or in the ground. Solitary bee nest boxes typically consist of common reed stems or options incl. wood or paper tubes. Success depends on nest box design, siting and availability of foraging resources.",Farmland Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=9
Management,Implement nature-based solutions around the site,Grassland,All,Increase crop diversity across a farm or farmed landscape,Increasing the range of different crops grown in a given year may increase the biological value of a farm by increasing farmland heterogeneity,Farmland Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=9
Habitat Creation ,Create pockets of new habitat throughout the site,Grassland,All,Take field corners out of management,"Field corners can be taken out of management on both arable and livestock farms - e.g., Hare's Corner",Farmland Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=9
Habitat Creation ,Create nesting or food resources for pollinators/invertebrates,Grassland,All,Create beetle banks,Grassy mounts about 2m wide that run across the middle of large arable fields. They may be created using two-directional ploughing and sown with a mix of grass species.,Farmland Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=9
Management,Manage in a positive way for native species,Grassland,All,Plant crops in spring rather than autumn,Planting crops in spring rather than autumn can be better for autumn,Farmland Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=9
Management,Manage in a positive way for native species,Grassland,All,"Undersow spring cereals, with clover (ex.)","Sow grass or clover beneath a cereal crop, the undersown crop is later ploughed in",Farmland Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=9
Habitat Creation ,Create pockets of new habitat throughout the site,Grassland,All,Convert or revert arable land to permanent grassland,"Change from an arable crop to a sown agricultural grassland, to be used for grazing or silage. ",Farmland Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=9
Management,Manage in a positive way for native species,Grassland,All,Reduce tillage,"Various methods to reduce the depth or intensity of ploughing, such as layered cultivation, non-inversion tillage and conservation tillage. It also includes stopping tillage altogether in some places.",Farmland Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=9
Management,Manage in a positive way for native species,Grassland,All,"Maintain species-rich, semi-natural grassland",This involves altered mowing or grazing regimes and reduced inputs or while some studies also tested the effectiveness of mulching or burning.,Farmland Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=9
Restoration,Identify opportunities to restore habitats ,Grassland,All,Restore or create species-rich semi-natural grassland,"Measures used to restore or create grasslands of high plantdiversity such as chalk grasslands and hay meadows include grazing, mowing, sowing, and hay spreading.",Farmland Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=9
Management,Manage in a positive way for native species,Grassland,All,Add yellow rattle seed (Rhinanthus minor) to hay meadows,"Yellow rattle is an annual wildflower that parasitises other plants, particularly grasses, allowing other wildflower species to establish",Farmland Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=9
Management,Manage in a positive way for native species,Grassland,All,Raise mowing height on grasslands,"High vegetation can provide more complex environments and more habitats but cut short vegetation can allow birds access to the ground which can help foraging, and can reduce the risk of predation.",Farmland Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=9
Management,Manage in a positive way for native species,Grassland,All,Delay mowing or first grazing date on grasslands,Delay the first cut (until later in the summer) and little agrochemical use,Farmland Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=9
Management,Manage in a positive way for native species,Grassland,All,Reduce grazing intensity on grassland by seasonal removal of livestock,Reduce livestock grazing intensity on peermanent grassland (including seaosnal removal of livestock). ,Farmland Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=9
Management,Manage in a positive way for native species,Peatland,All,Maintain upland heath/moorland,"Use management techniques to maintain the conservation value of uplant heath or moorland, including enclosed rough grazing. Treatments include, removing or reducing grazing, controlling dominance of grass species by cutting or grazing by goats, and carryout out grouse moor management (roatational burning combined with predator control).",Farmland Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=9
Restoration,Identify opportunities to restore habitats ,Peatland,All,Restore or create upland heath/moorland,Upland heath/moorland typically consists of dwarf shrubs such as heather. Moorland can become dominated by scrub or grasses such as purple moor grass. ,Farmland Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=9
Management,Manage in a positive way for native species,Grassland,All,Exclude livestock from semi-natural habtiat,Prevent livestock from grazing semi-natural habitats such as by fencing off areas,Farmland Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=9
Management,Implement nature-based solutions around the site,Grassland,All,Provide buffer strips alongside water courses (rivers and streams),Uncultivated strips at the edge of waterways help reduce diffuse pollution from agricultural systems,Farmland Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=9
Management,"Minimise the use of chemical pesticides, insecticides, herbicides, fungicides, rodenticides, etc. on site",Grassland,All,Reduce chemical inputs in grassland management,"Reduce the amount of chemical inputs applied to permanent grasslands or cease inputs altogether. Chemical inputs to permanent grassland may include fertilisers such as nitrogen (N), phosphorus (P) or potassium (K). ",Farmland Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=9
Management,"Minimise the use of chemical pesticides, insecticides, herbicides, fungicides, rodenticides, etc. on site",Grassland,All,Use organic rather than mineral fertilisers.,"Organic fertilisers such as farmyear manure (incl. green manure or crop residues), slurry and other composts provide an alternative to synthetic or mineral fertilisers). ",Farmland Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=9
Management,Implement nature-based solutions around the site,Wetlands,All,Create scrapes and pools,Creating scrapes and pools in wetlands and wet grasslands can help create a heterogenous habitat with varying vegetation types and water levels. Scrapes consist of pools or strips of shallow water which dry during the summer.,Farmland Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=9
Invasive species,"Remove invasive species from the site, adhering to correct removal methods to reduce risk of spread",Grassland,All,"Control invasive non-native plants on farmland (such as Himalayan balsam, Japanese knotweed).",Techniques to control species involve a range of methods including mechanical control such as cutting or cultivation.,Farmland Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=9
Management,Manage in a positive way for native species,Grassland,All,Control scrub,"If scrub dominates non-productive land on farms it may lead to declides in species that require grassland and other farmland habitats. Scrub control may include cutting, grazing, or herbicide application.",Farmland Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=9
Invasive species,"Remove invasive species from the site, adhering to correct removal methods to reduce risk of spread",Woodland,Mammals,Control grey squirrels,"Grey squirrels may cause damage to woodlands through bark stripping and competing with the native red squirrel, and carrying squirrel pox virus. ",Farmland Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=9
Invasive species,"Remove invasive species from the site, adhering to correct removal methods to reduce risk of spread",Woodland,Mammals,Control mink,Mink can have a significant effect on local wildlife. This intervention may involve controlling mink populations through trapping. ,Farmland Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=9
Management,Manage in a positive way for native species,All,All,Manage wild deer numbers,"Wild deer populations can cause damage to woodlands, crops and other wildlife habitats through browsing and bark stripping. Management of deer is required to prevent damage to native habitats. ",Farmland Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=9
Management,"Minimise the use of chemical pesticides, insecticides, herbicides, fungicides, rodenticides, etc. on site",All,All,Do nothing or do less,Don't replace the use of herbicides. Look strategically at where vegetation can be left alone or where expectations can be adjusted. Look at if there is an actual need to spray an area. ,Alternatives to herbicides. A guide for the amenity sector.,https://www.pan-uk.org/site/wp-content/uploads/Alternatives-to-herbicides-a-guide-for-the-amenity-sector.pdf
Management,"Minimise the use of chemical pesticides, insecticides, herbicides, fungicides, rodenticides, etc. on site",All,All,Manage with mechanical methods,"Methods include hand-weeding, mowing or strimming, mulching, planting regimes.",Alternatives to herbicides. A guide for the amenity sector.,https://www.pan-uk.org/site/wp-content/uploads/Alternatives-to-herbicides-a-guide-for-the-amenity-sector.pdf
Management,"Minimise the use of chemical pesticides, insecticides, herbicides, fungicides, rodenticides, etc. on site",All,All,Design out the need for herbicides,Better design could reduce or remove the need to use herbicides. ,Alternatives to herbicides. A guide for the amenity sector.,https://www.pan-uk.org/site/wp-content/uploads/Alternatives-to-herbicides-a-guide-for-the-amenity-sector.pdf
Management,"Minimise the use of chemical pesticides, insecticides, herbicides, fungicides, rodenticides, etc. on site",All,All,Thermal control with hot water or foam,"Steam, hot water, and hot water with foam added. The root is not immediately killed but would require repeated treatments the plant will eventually weaken and die down its roots. Hot water system uses water heated to 120 degrees which is applies with a low pressure system with a long hose - effective at killing weeds and can be used for other purposes such as killing moss and algae. The hot foam system is similar but includes a foam from vegetable oils to hold the water at a high temperature for longer. This makes it more effective at killing the plant. Machinery availability a limitation [1 supplier in Ireland at the moment].  ",Alternatives to herbicides. A guide for the amenity sector.,https://www.pan-uk.org/site/wp-content/uploads/Alternatives-to-herbicides-a-guide-for-the-amenity-sector.pdf
Management,"Minimise the use of chemical pesticides, insecticides, herbicides, fungicides, rodenticides, etc. on site",All,All,Brushing,"Brushing can be very effective to control weeds on pavements, gravel, block paving and other hard surfaces. Wire brushes are spun at high speed over the surface of the ground to rip weeds over the ground.",Alternatives to herbicides. A guide for the amenity sector.,https://www.pan-uk.org/site/wp-content/uploads/Alternatives-to-herbicides-a-guide-for-the-amenity-sector.pdf
Invasive species,"Remove invasive species from the site, adhering to correct removal methods to reduce risk of spread",All,Japanese knotweed,Japanese knotweed control using mesh,This forces the plant to server its  own stems as it grows against the mesh. A fine mesh is placed on the ground where the knotweed is growing.,Alternatives to herbicides. A guide for the amenity sector.,https://www.pan-uk.org/site/wp-content/uploads/Alternatives-to-herbicides-a-guide-for-the-amenity-sector.pdf
Invasive species,"Remove invasive species from the site, adhering to correct removal methods to reduce risk of spread",All,Japanese knotweed/Giant Hogweed,Stem inject japanese knotweed or giant hogweed with herbicide. This is very effective but poses a slight risk of run off into the environment.,,Alternatives to herbicides. A guide for the amenity sector.,https://www.pan-uk.org/site/wp-content/uploads/Alternatives-to-herbicides-a-guide-for-the-amenity-sector.pdf
Invasive species,Develop a plan for monitoring and managing invasive species,All,All,Adopt a pesticide-free policy,Undertake an audit of current pesticide/herbicide use across all sectors including. Initiate a stakeholder forum for land managers. Develop a communications strategy for trialling non-chemical weed control methods in a variety of locations. ,Alternatives to herbicides. A guide for the amenity sector.,https://www.pan-uk.org/site/wp-content/uploads/Alternatives-to-herbicides-a-guide-for-the-amenity-sector.pdf
