Count,Action_Type,BAP_Type,County_Area_Organisation,BAP,Action,Action type,Notes,Relevant,Sites
109,Biodiversity awareness (external),County Council,Meath County Council,County Meath Biodiversity Action Plan 2015-2020,"Organise annual events to raise awareness of biodiversity and to disseminate information on the biodiversity of County through website, local media, and utilising new technologies","Host/promote events for the community on biodiversity topics, e.g., talks & walks, tours, Heritage week, workshops, etc. ",,*,All
110,Management ,County Council,Meath County Council,County Meath Biodiversity Action Plan 2015-2020,"Promote awareness of ill-health in trees and encourage the public to report instances of unusual signs of ill-health in trees via the Department of Agriculture, Food, and the Marine's Tree Health app",Manage in a biodiversity-friendly way - creating space for biodiversity,,*,All
111,Biodiversity awareness (internal),County Council,Meath County Council,County Meath Biodiversity Action Plan 2015-2020,"Organise a series of training events for Council staff and the community on best practice in biodiversity management and on protected species e.g., bats and otters",Provide training to staff on biodiversity & best practice,,*,All
112,Invasive species,County Council,Meath County Council,County Meath Biodiversity Action Plan 2015-2020,MCC to initiate a pilot project on the control of ragwort in partnership with landowners/farmers within selected pilot area,"Remove invasive species from the site, adhering to correct removal methods to reduce risk of spread",,*,All
113,Management ,County Council,Meath County Council,County Meath Biodiversity Action Plan 2015-2020,"Promote best practice in the use of rodenticides in order to limit the risks to birds, animals and humans","Minimise the use of chemical pesticides, insecticides, herbicides, fungicides, rodenticides, etc. on site",,*,All
114,Citizen science,County Council,Kilkenny County Council,Draft County Kilkenny Biodiversity Plan 2009-2014,Select species for flagship projects that encourage public participation in recording important and easily identifiable species,"Promote initiatives that involve citizen science, especially involving the local community",Education & awareness,*,All
115,Biodiversity awareness (external),County Council,Kilkenny County Council,Draft County Kilkenny Biodiversity Plan 2009-2014,"Promote awareness of the value of wetlands and riparian habitats for wildlife and water quality, and in relation to climate change and flood mitigation",Develop biodiversity signage on site to inform visitors of the biodiversity present,Education & awareness,*,All
116,Biodiversity awareness (external),County Council,Kilkenny County Council,Draft County Kilkenny Biodiversity Plan 2009-2014,"Raise awareness of the importance of hedgerows for wildlife, landscapes and the environment, and promote their conservation and management",Develop biodiversity signage on site to inform visitors of the biodiversity present,Education & awareness,*,All
117,Management ,County Council,Kilkenny County Council,Draft County Kilkenny Biodiversity Plan 2009-2014,Support and promote the training and certification of contractors in hedgerow management,Manage hedgerows in a biodiversity-friendly manner,Education & awareness,*,All
118,Management ,County Council,Kilkenny County Council,Draft County Kilkenny Biodiversity Plan 2009-2014,Identify areas of local ecological interest in the country. Include sites identified in Local Area Plans. Explore options for protecting these areas,Manage in a biodiversity-friendly way - creating space for biodiversity,Information,*,All
119,Data management,County Council,Kilkenny County Council,Draft County Kilkenny Biodiversity Plan 2009-2014,Support the collection of biological data and the lodging of these data in the National Biodiversity Data Centre,Submit data to the National Biodiversity Data Centre and other relevant organisations,Information,*,All
120,Biodiversity awareness (external),County Council,Kilkenny County Council,Draft County Kilkenny Biodiversity Plan 2009-2014,"Support and develop links with national biodiversity events and surveys e.g., Annual Dawn Chorus and European Bat Night","Host/promote events for the community on biodiversity topics, e.g., talks & walks, tours, Heritage week, workshops, etc. ",Information,*,All
121,Biodiversity awareness (external),County Council,Kilkenny County Council,Draft County Kilkenny Biodiversity Plan 2009-2014,Support the development of walking trails that highlight natural heritage,Develop walking trails or other visitor infrastructure to highlight biodiversity onsite,Enjoyment of heritage,*,All
122,Management ,County Council,Kilkenny County Council,Draft County Kilkenny Biodiversity Plan 2009-2014,Support initiatives that promote the conservation of biodiversity on farms,Encourage farmers to engage with biodiversity-friendly management,Managing heritage,*,All
123,Management ,County Council,Kilkenny County Council,Draft County Kilkenny Biodiversity Plan 2009-2014,Support efforts to protect river banks in order to maintain water quality and aquatic biodiversity,"Manage existing water features (ponds, lakes, rivers) in a biodiversity-friendly manner",Managing heritage,*,All
124,Restoration,County Council,Longford County Council,Draft County Longford Heritage Plan 2019-2024,Seek the improvement of riparian corridors by promoting appropriate management for improved habitat viability,Restore and improve wetland and waterbody habitats,Obj.2,*,All
125,Management ,County Council,Longford County Council,Draft County Longford Heritage Plan 2019-2024,Assist in the identification of ecological networks or 'econets' in Longford linking with core conservation areas within the county and in neighbouring counties,Manage in a biodiversity-friendly way - creating space for biodiversity,Obj.2,*,All
126,Restoration,County Council,Longford County Council,Draft County Longford Heritage Plan 2019-2024,"Promote the conservation of Longford's bogs, and the rehabilitation of Longford's industrial cutaway bogs as biodiversity corridors",Restore and rehabilitate peatland habitats,Obj.2,*,All
127,Management ,County Council,Longford County Council,Draft County Longford Heritage Plan 2019-2024,Improve awareness and protection of heritage hedgerows in the county. Promote training for their protection and management ,Manage hedgerows in a biodiversity-friendly manner,Obj.2,*,All
128,Management ,County Council,Longford County Council,Draft County Longford Heritage Plan 2019-2024,"Improve awareness and protection of protected species and their habitats, to include, but not be limited to: bats, the marsh fritillary, the white-clawed crayfish and pollard",Manage in a positive way for native species,Obj.2,*,All
129,Biodiversity awareness (external),County Council,Longford County Council,Draft County Longford Heritage Plan 2019-2024,Support local Tidy Towns Committees in achieving their biodiversity goals,Work with the local community to promote biodiversity projects on site and within the local area,Obj.2,*,All
130,Invasive species,County Council,Longford County Council,Draft County Longford Heritage Plan 2019-2024,Undertake invasive species surveys. Develop a management strategy on invasive species for Longford,Develop a plan for monitoring and managing invasive species,Obj.2,*,All
131,Biodiversity awareness (internal),County Council,Longford County Council,Draft County Longford Heritage Plan 2019-2024,Provide biodiversity training for local authority staff and Members,Provide training to staff on biodiversity & best practice,Obj.3,*,All
132,Biodiversity awareness (external),County Council,Longford County Council,Draft County Longford Heritage Plan 2019-2024,"Host and/or promote educational talks/workshops and initiatives to promote best practice within key groups, including Tidy Towns Committees, community groups and the farming community","Host/promote events for the community on biodiversity topics, e.g., talks & walks, tours, Heritage week, workshops, etc. ",Obj.4,*,All
133,Data management,County Council,Longford County Council,Draft County Longford Heritage Plan 2019-2024,"Provide online access to information on biodiversity and related projects, including the supporting information from the Draft Biodiversity Action Plan",Provide a central database for biodiversity data to be stored and easily accessed,Obj.5,*,All
134,Biodiversity awareness (external),County Council,Longford County Council,Draft County Longford Heritage Plan 2019-2024,"Increase engagement with biodiversity and the natural environment among schools, communities and the public, and support intiatives to increase access to the natural environment",Implement an education programme with local schools,Obj.6,*,All
135,Biodiversity awareness (external),County Council,Longford County Council,Draft County Longford Heritage Plan 2019-2024,"Support local, regional, and national initiatives to raise awareness of biodiversity; that make biodiversity more accessible and that improve the biodivesity value of amenity sites, in partnership with key stakehodlers. This shall include but not be limited to the National Biodiversity Action Plan, All Ireland Pollinator Plan",Work with the local community to promote biodiversity projects on site and within the local area,Obj.6,*,All
136,Biodiversity awareness (external),County Council,Mayo County Council,County Mayo Biodiversity Action Plan 2010-2015,Organise biodiversity/wildlife walks and talks for the public,"Host/promote events for the community on biodiversity topics, e.g., talks & walks, tours, Heritage week, workshops, etc. ",Obj.1,*,All
137,Biodiversity awareness (internal),County Council,Mayo County Council,County Mayo Biodiversity Action Plan 2010-2015,Promote and support increased participation in nature and biodiversity conservation,Promote engagement from all staff with biodiversity ,Obj.1,*,All
138,Biodiversity awareness (external),County Council,Mayo County Council,County Mayo Biodiversity Action Plan 2010-2015,Develop a schools competition to promote the importance of nature and biodiversity,Implement an education programme with local schools,Obj.1,*,All
139,Biodiversity awareness (external),County Council,Mayo County Council,County Mayo Biodiversity Action Plan 2010-2015,Produce interpretive signage for key natural heritage sites in the county,Develop biodiversity signage on site to inform visitors of the biodiversity present,Obj.1,*,All
140,Biodiversity awareness (external),County Council,Mayo County Council,County Mayo Biodiversity Action Plan 2010-2015,"Raise awareness of the importance of hedgerows for wildlife, landscapes and the environment, and promote their conservation and management",Develop biodiversity signage on site to inform visitors of the biodiversity present,Obj.1,*,All
141,Restoration,County Council,Mayo County Council,County Mayo Biodiversity Action Plan 2010-2015,Conduct a survey of cutover and cutaway peatlands to identify their potential for creating natural reserves,Restore and rehabilitate peatland habitats,Obj.2,*,All
142,Data management,County Council,Mayo County Council,County Mayo Biodiversity Action Plan 2010-2015,Support the collection of biological data and the lodging of these data in the National Biodiversity Data Centre,Submit data to the National Biodiversity Data Centre and other relevant organisations,Obj.2,*,All
143,Biodiversity awareness (external),County Council,Mayo County Council,County Mayo Biodiversity Action Plan 2010-2015,Promote and support participation in national biodiversity events and surveys,"Host/promote events for the community on biodiversity topics, e.g., talks & walks, tours, Heritage week, workshops, etc. ",Obj.2,*,All
144,Citizen science,County Council,Mayo County Council,County Mayo Biodiversity Action Plan 2010-2015,Pilot a nature conservation project with a community group and a school,"Promote initiatives that involve citizen science, especially involving the local community",Obj.3,*,All
145,Biodiversity awareness (internal),County Council,Mayo County Council,County Mayo Biodiversity Action Plan 2010-2015,Develop a biodiversity training programme and biodiversity guidelines for Local Authority staff,Provide training to staff on biodiversity & best practice,Obj.3,*,All
146,Habitat creation,County Council,Mayo County Council,County Mayo Biodiversity Action Plan 2010-2015,Promote and support the retention of existing natural habitats and creation of new natural habitats in new developments,Create pockets of new habitat throughout the site,Obj.3,*,All
147,Invasive species,County Council,Mayo County Council,County Mayo Biodiversity Action Plan 2010-2015,Continue effortss to eradicate Gunnera,"Remove invasive species from the site, adhering to correct removal methods to reduce risk of spread",Obj.3,*,All
148,Restoration,County Council,Monaghan County Council,Monaghan Biodiversity and Heritage Strategic Plan 2020-2025,Progress conservation of wetland sites across the county,Restore and improve wetland and waterbody habitats,Wetlands,*,All
149,Biodiversity monitoring,County Council,Monaghan County Council,Monaghan Biodiversity and Heritage Strategic Plan 2020-2025,Assess environmental impact of all drainage/reclamation above 2ha,Establish monitoring for species/habitats that are under threat or keystone species,Wetlands,*,All
150,Biodiversity monitoring,County Council,Monaghan County Council,Monaghan Biodiversity and Heritage Strategic Plan 2020-2025,Collect biodiversity information for wetland sites and identify priority sites which deliver key ecosystem services,Undertake surveys to identify habitats and species to understand what is on site,Wetlands,*,All
151,Management ,County Council,Monaghan County Council,Monaghan Biodiversity and Heritage Strategic Plan 2020-2025,Hold native hedge planting and laying workshops,Manage hedgerows in a biodiversity-friendly manner,Hedgerows & native woodland,*,All
152,Management ,County Council,Monaghan County Council,Monaghan Biodiversity and Heritage Strategic Plan 2020-2025,Promote Pollination Plan activities on farms,Manage areas in a pollinator-friendly manner and report to the AIPP,High Nature Value Farmland,*,All
153,Biodiversity awareness (internal),County Council,Monaghan County Council,Monaghan Biodiversity and Heritage Strategic Plan 2020-2025,Arrange specific talks or workshops for farmers on HNV farming practices,Provide training to staff on biodiversity & best practice,High Nature Value Farmland,*,All
154,Biodiversity awareness (internal),County Council,Monaghan County Council,Monaghan Biodiversity and Heritage Strategic Plan 2020-2025,Work with landowners to determine full heritage and biodiversity values of their sites,"Ensure biodiversity it incorporated into all aspects of work, including landowners ",Demesnes and estates,*,All
155,Management ,County Council,Waterford City & County Council,People and Place Waterford Heritage Paln 2017-2022,Support promotion and implementation of the the All-Ireland Pollinator Plan 2015-2020 through adhering to stakeholder guidelines on pollinator friendly work practices and policies,Manage areas in a pollinator-friendly manner and report to the AIPP,Natural Heritage,*,All
156,Invasive species,County Council,Waterford City & County Council,People and Place Waterford Heritage Paln 2017-2022,Increase awareness and appropriate treatment of invasive species,Raise awareness of invasive species and keep up to date on updates from NBDC,Natural Heritage,*,All
157,Biodiversity awareness (external),County Council,Waterford City & County Council,People and Place Waterford Heritage Paln 2017-2022,Support a Biodiversity in Schools project,Implement an education programme with local schools,Natural Heritage,*,All
158,Management ,County Council,Waterford City & County Council,People and Place Waterford Heritage Paln 2017-2022,Promote best practice management for hedgerows,Manage hedgerows in a biodiversity-friendly manner,Natural Heritage,*,All
159,Biodiversity awareness (external),County Council,Waterford City & County Council,People and Place Waterford Heritage Paln 2017-2022,"Promote and support community engagement with natural heritage through local habitat management projects, citizen science and natural hertiage even programming at public events including festivals","Host/promote events for the community on biodiversity topics, e.g., talks & walks, tours, Heritage week, workshops, etc. ",Natural Heritage,*,All
160,Management ,County Council,Westmeath County Council,County Westmeath Biodiversity Action Plan 2014-2020,"Identify, promote, establish and protect wildlife corridors along the rivers and canals outside of Natura 2000 sites","Manage existing water features (ponds, lakes, rivers) in a biodiversity-friendly manner",Priority action,*,All
161,Habitat creation,County Council,Westmeath County Council,County Westmeath Biodiversity Action Plan 2014-2020,"Identify existing and investigate the potential to establish new ecological corridors and stepping stores between larger areas of natural or semi-natural habitats, especially Natura 2000 designated sites, subject to compliance with the Habitats Directive",Create habitat corridors between existing habitats,Priority action,*,All
162,Habitat creation,County Council,Westmeath County Council,County Westmeath Biodiversity Action Plan 2014-2020,"Promote the planting of new native species hedgerows on land in public ownership and privately owned farmland, outside of Natura 2000 sites",Create pockets of new habitat throughout the site,Priority action,*,All
163,Management ,County Council,Westmeath County Council,County Westmeath Biodiversity Action Plan 2014-2020,"Retain, where possible, habitats within developments including hedgerows",Manage hedgerows in a biodiversity-friendly manner,Priority action,*,All
164,Management ,County Council,Westmeath County Council,County Westmeath Biodiversity Action Plan 2014-2020,Seek financial support for the restoration to favourable condition of hedgerows of heritage value on non AEOS/GLAS farms on an annual basis,Manage hedgerows in a biodiversity-friendly manner,,*,All
165,Biodiversity monitoring/Citizen science,County Council,Westmeath County Council,County Westmeath Biodiversity Action Plan 2014-2020,"Promote and co-ordinate a Bog Spring Clean (community-based action), outside of Natura 2000 sites",Involve citizen scientists in monitoring of habitats/species,,*,MO;ME
166,Management ,County Council,Westmeath County Council,County Westmeath Biodiversity Action Plan 2014-2020,"Enhance public owned lands for biodiversity, including the creation of bee and wildlife friendly habitats, outside of Natura 2000 sites",Manage areas in a pollinator-friendly manner and report to the AIPP,,*,All
167,Management ,County Council,Westmeath County Council,County Westmeath Biodiversity Action Plan 2014-2020,"Limit the use and control the type of herbicides and pesticides used on Council owned lands, with particular reference to locations adjacent to water courses and flowering plants","Minimise the use of chemical pesticides, insecticides, herbicides, fungicides, rodenticides, etc. on site",,*,All
168,Biodiversity awareness (external),County Council,Westmeath County Council,County Westmeath Biodiversity Action Plan 2014-2020,"Work with local businesses to enhance company grounds for Biodiversity, including the creation of bee- and wildlife-friendly habitats",Advertise and raise awareness of biodiversity actions within and beyond the sector ,,*,All
169,Data management,County Council,Westmeath County Council,County Westmeath Biodiversity Action Plan 2014-2020,Provide and maintain ecological and heritage datasets for inclusion on the Heritage Council website,Provide a central database for biodiversity data to be stored and easily accessed,Priority action,*,All
170,Invasive species,County Council,Westmeath County Council,County Westmeath Biodiversity Action Plan 2014-2020,Map Japanese knotweed locations in Mullingar and prepare a Japanese knotweed management/Eradication plan for the town,Identify and map the locations of invasive species,Priority action,*,All
171,Invasive species,County Council,Westmeath County Council,County Westmeath Biodiversity Action Plan 2014-2020,Prepare a non-native Invasive Species Management Plan for County Westmeath,Develop a plan for monitoring and managing invasive species,Priority action,*,All
172,Invasive species,County Council,Westmeath County Council,County Westmeath Biodiversity Action Plan 2014-2020,"Prepare a guidance document on the issue of Non-Native Invasive Species for quarries and places where stone, gravel, sand and such construction materirals are stored - for both private and Local Authority owned sites",Raise awareness of invasive species and keep up to date on updates from NBDC,,*,All
173,Restoration,County Council,Westmeath County Council,County Westmeath Biodiversity Action Plan 2014-2020,Carry out a feasibility study regarding the restoration of peatland sites of conservation concern,Restore and rehabilitate peatland habitats,,*,MO; ME
174,Biodiversity awareness (internal),County Council,Westmeath County Council,County Westmeath Biodiversity Action Plan 2014-2020,"Deliver biodiversity training for County Council staff; including planners, engineers, Elected Members and other key personnel",Provide training to staff on biodiversity & best practice,,*,All
175,Management ,County Council,Westmeath County Council,County Westmeath Biodiversity Action Plan 2014-2020,Support demonstration days on farms to show good farming practice in relation to riparian corridors and hedgerow management,Manage hedgerows in a biodiversity-friendly manner,,*,All
176,Biodiversity awareness (internal),County Council,Westmeath County Council,County Westmeath Biodiversity Action Plan 2014-2020,Prepare guidance document to encourage farmers and landowners to assign areas of land to promote the growth of wild plants and flowering trees for pollinator conservation,"Ensure biodiversity it incorporated into all aspects of work, including landowners ",,*,All
177,Management ,County Council,Westmeath County Council,County Westmeath Biodiversity Action Plan 2014-2020,Prepare a guidance document for farmers on the effects of badger sett disturbance and change of farming practices on bovine tuberculosis spread among cattle,Encourage farmers to engage with biodiversity-friendly management,,*,CA; RI; TE; RA
178,Biodiversity awareness (external),County Council,Westmeath County Council,County Westmeath Biodiversity Action Plan 2014-2020,"Support Tidy Towns groups in the county and promtoe the ""wildlife and natural amenities"" aspect of the competition",Work with the local community to promote biodiversity projects on site and within the local area,,*,All
179,Biodiversity awareness (external),County Council,Westmeath County Council,County Westmeath Biodiversity Action Plan 2014-2020,"Promote the set-up of a ""Westmeath Bee Awareness Group"" to promote information and best practice in relation to dealing with bees",Work with the local community to promote biodiversity projects on site and within the local area,,*,All
180,Biodiversity awareness (external),County Council,Westmeath County Council,County Westmeath Biodiversity Action Plan 2014-2020,"Promote the socio-economic benefits of habitats conservation, especially hedgerows, wetlands, peatland",Develop biodiversity signage on site to inform visitors of the biodiversity present,,*,All
181,Biodiversity awareness (external),County Council,Westmeath County Council,County Westmeath Biodiversity Action Plan 2014-2020,Promote biodiversity events for the public including holding a minimum of four biodiversity events each year,"Host/promote events for the community on biodiversity topics, e.g., talks & walks, tours, Heritage week, workshops, etc. ",,*,All
182,Biodiversity awareness (external),County Council,Westmeath County Council,County Westmeath Biodiversity Action Plan 2014-2020,"Support, promote and liase with nature conservation groups active in County Westmeath",Work with the local community to promote biodiversity projects on site and within the local area,,*,All
183,Biodiversity awareness (external),County Council,Westmeath County Council,County Westmeath Biodiversity Action Plan 2014-2020,"Promote walking trails throughout the county, subject to compliance with the Habitats Directive",Develop walking trails or other visitor infrastructure to highlight biodiversity onsite,,*,All
184,Biodiversity awareness (external),County Council,Westmeath County Council,County Westmeath Biodiversity Action Plan 2014-2020,"Establish Bog trails to promote conservation of peatland habitats, where it can be demonstrated that resultant development will not have a negative impact on Natura 2000 sites",Develop walking trails or other visitor infrastructure to highlight biodiversity onsite,,*,MO; ME; CL; AD
185,Biodiversity awareness (external),County Council,Westmeath County Council,County Westmeath Biodiversity Action Plan 2014-2020,"Promote awareness of the biodiversity value of the north of the county, including the Lakelands region",Develop biodiversity signage on site to inform visitors of the biodiversity present,,*,TE
186,Data management,County Council,Wicklow County Council,County Wicklow Biodiversity Action Plan 2010-2015,Explore the possibility of compiling and operating a Wicklow County Biodiversity GIS database to hold and make available biodiversity information relating to the county,Provide a central database for biodiversity data to be stored and easily accessed,Understanding biodiversity,*,All
187,Biodiversity awareness (external),County Council,Wicklow County Council,County Wicklow Biodiversity Action Plan 2010-2015,Undertake a campaign to develop and promote sustainable wildlife tourism initiative in Wicklow,Develop walking trails or other visitor infrastructure to highlight biodiversity onsite,Raising awareness,*,All
188,Data management,County Council,Wicklow County Council,County Wicklow Biodiversity Action Plan 2010-2015,Develop a Biodiveristy Reference resource for County Wicklow for the general public and council staff,Provide a central database for biodiversity data to be stored and easily accessed,Raising awareness,*,All
189,Biodiversity awareness (external),County Council,Wicklow County Council,County Wicklow Biodiversity Action Plan 2010-2015,"Promote the sustainable use of Wicklow's coast, incorporatign the needs of tourism, wildlife, and local populations. Include promotion of wildlife and local populations. ",Develop walking trails or other visitor infrastructure to highlight biodiversity onsite,Conserving and enhancing habitats & species,*,CA
190,Management ,County Council,Wicklow County Council,County Wicklow Biodiversity Action Plan 2010-2015,"Provide training and guidance on hedgerow management, verge management, and hedgerow planting, including cutting techniques and timing, aimed at council staff, contractors and landowners. In cooperation with Teagasc and the Hedgelaying Association of Ireland, where appropriate",Manage hedgerows in a biodiversity-friendly manner,Conserving and enhancing habitats & species,*,All
191,Biodiversity awareness (external),County Council,Wicklow County Council,County Wicklow Biodiversity Action Plan 2010-2015,"Undertake annual involvement in Biodiversity Day, organising and promoting events in partnership with partner groups in the county","Host/promote events for the community on biodiversity topics, e.g., talks & walks, tours, Heritage week, workshops, etc. ",Fostering active participation to help biodiversity,*,All
192,Biodiversity awareness (external),County Council,Wicklow County Council,County Wicklow Biodiversity Action Plan 2010-2015,"In partnership with others, promote community involvement in biodiversity schemes, by promoting biodiversity elements of national schemes such as Tidy Towns, Corrin Hill Biodiversity Gardens Award, and the introduction of a Golden Mile Competition for County Wicklow, ensuring a strong biodiversity emphasis",Work with the local community to promote biodiversity projects on site and within the local area,Fostering active participation to help biodiversity,*,All
193,Biodiversity monitoring,County Council,Wexford County Council,County Wexford Biodiversity Action Plan 2013-2018,To address the lack of information on hedges in the county by production of a county wide hedgerow survey,Undertake surveys to identify habitats and species to understand what is on site,Review data & identify gaps,*,CA; RI; RA
194,Management ,County Council,Wexford County Council,County Wexford Biodiversity Action Plan 2013-2018,To provide hedgerow conservation management training to Wexford Local Authorities personnel,Manage hedgerows in a biodiversity-friendly manner,Review data & identify gaps,*,All
195,Biodiversity monitoring,County Council,Wexford County Council,County Wexford Biodiversity Action Plan 2013-2018,To address the information gap regarding Marsh Fritillary in the county by: Identifying breeding sites within the county for the Marsh Fritillary butterfly; Investigating practical ways to protect breeding sites that are not designated; and raising awareness of the importance of the species and other butterfly species,Establish monitoring for species/habitats that are under threat or keystone species,Review data & identify gaps,*,CA; RI; RA
196,Biodiversity monitoring,County Council,Wexford County Council,County Wexford Biodiversity Action Plan 2013-2018,"To adopt the actions listed in the All-Ireland Red Squirrel Action Plan (NPWS, 2008) to extend and protected the areas supporting Red Squirrels, to continue squirrel monitoring and develop an education program with a view to implementing grey squirrel control measures",Monitor species in line with relevant Species Action Plans or Threat Response Plans,Review data & identify gaps,*,All
197,Invasive species,County Council,Wexford County Council,County Wexford Biodiversity Action Plan 2013-2018,Conduct data gathering project on invasive alien species in Co. Wexford,Identify and map the locations of invasive species,Review data & identify gaps,*,All
198,Data management,County Council,Wexford County Council,County Wexford Biodiversity Action Plan 2013-2018,"Support the National Biodiversity Data Centre as the national centre dedicated to the collation, management, analysis and dissemination of data and information on Ireland's biological diversity",Submit data to the National Biodiversity Data Centre and other relevant organisations,Review data & identify gaps,*,All
199,Citizen science,County Council,Wexford County Council,County Wexford Biodiversity Action Plan 2013-2018,"To encourage and involve the public as data providers, to fill data gaps regarding flora and fauna and their associated habitats","Promote initiatives that involve citizen science, especially involving the local community",Review data & identify gaps,*,All
200,Biodiversity awareness (external),County Council,Wexford County Council,County Wexford Biodiversity Action Plan 2013-2018,Develop a targeted biodiversity awareness campaign and produce interpretive material on various topics and themes,Develop biodiversity signage on site to inform visitors of the biodiversity present,Education & awareness,*,All
201,Management ,County Council,Wexford County Council,County Wexford Biodiversity Action Plan 2013-2018,Support the protection of biodiversity inside and outside protected sites,Manage in a biodiversity-friendly way - creating space for biodiversity,Maintain & enhance biodiversity,*,All
202,Biodiversity awareness (external),County Council,Wexford County Council,County Wexford Biodiversity Action Plan 2013-2018,"Conserve for people by the people - Aim projects at getting groups, individuals, businesses to look at how they can help the conservation of biodiversity",Work with the local community to promote biodiversity projects on site and within the local area,Maintain & enhance biodiversity,*,All
203,Invasive species,County Council,Wexford County Council,County Wexford Biodiversity Action Plan 2013-2018,Promote best practice in the control of invasive species,"Remove invasive species from the site, adhering to correct removal methods to reduce risk of spread",Maintain & enhance biodiversity,*,All
204,Biodiversity monitoring,County Council,Wexford County Council,County Wexford Biodiversity Action Plan 2013-2018,Support the actions of the 'Action Plan for Upland Birds in Ireland 2011-2020' BirdWatch Ireland,Monitor species in line with relevant Species Action Plans or Threat Response Plans,Maintain & enhance biodiversity,*,BA; CL; AD; MO; ME
205,Management ,County Council,Wexford County Council,County Wexford Biodiversity Action Plan 2013-2018,Carry out a hedgerow survey and devide and implement a policy for Local Authority hedge cutting practices which will enhance biodiversity,Manage hedgerows in a biodiversity-friendly manner,Maintain & enhance biodiversity,*,All
206,Management ,County Council,Wexford County Council,County Wexford Biodiversity Action Plan 2013-2018,To fully assess the level of use of herbicides in the day to day county council operations and develop a new policy aimed at limiting their use to ensure the protection and restoration of biodiversity within the county,"Minimise the use of chemical pesticides, insecticides, herbicides, fungicides, rodenticides, etc. on site",Maintain & enhance biodiversity,*,All
207,Management ,County Council,South Tipperary Biodiversity,South Tipperary Biodiversity Action Plan 2010-2015,Provide information and training to local authority staff and members on biodiversity issues,Provide training to staff on biodiversity & best practice,,*,All
208,Biodiversity awareness (external),County Council,South Tipperary Biodiversity,South Tipperary Biodiversity Action Plan 2010-2015,Provide best practice for tourism and recreation providers regarding development of outdoor recreation and interpretation of natural heritage,Develop biodiversity signage on site to inform visitors of the biodiversity present,,*,All
209,Biodiversity monitoring/Citizen science,County Council,South Tipperary Biodiversity,South Tipperary Biodiversity Action Plan 2010-2015,"Use flagship species to involve the public in gathering biodiversity data and raising awareness including: bee, red squirrel, marsh fritillary/devil's bit scabious",Involve citizen scientists in monitoring of habitats/species,,*,All
210,Biodiversity awareness (internal),County Council,South Tipperary Biodiversity,South Tipperary Biodiversity Action Plan 2010-2015,Provide information and training days for landowners on requirements in designated nature conservation sites,Provide training to staff on biodiversity & best practice,,*,All
211,Invasive species,County Council,South Tipperary Biodiversity,South Tipperary Biodiversity Action Plan 2010-2015,Conduct an awareness-raising and data-gathering campaign on invasive species in the county. Promote best practice in control of invasive species,Raise awareness of invasive species and keep up to date on updates from NBDC,,*,All
212,Biodiversity monitoring,Local Area,"Tullow, Carlow",Tullow Community Biodiversity Action Plan 2023-2028,River Water Quality Monitoring - carry out water quality testing in the River Slaney at pre-defined locations bimonthly all year round and publish the findings,Establish monitoring for species/habitats that are under threat or keystone species,Obj.1,*,All
213,Invasive species,Local Area,"Tullow, Carlow",Tullow Community Biodiversity Action Plan 2023-2028,Map the location of all known Invasive Species in the Tullow Area,Identify and map the locations of invasive species,Obj.1,*,All
214,Invasive species,Local Area,"Tullow, Carlow",Tullow Community Biodiversity Action Plan 2023-2028,Develop strategies to tackle the growth of Himalayan Balsam,"Remove invasive species from the site, adhering to correct removal methods to reduce risk of spread",Obj.1,*,All
215,Invasive species,Local Area,"Tullow, Carlow",Tullow Community Biodiversity Action Plan 2023-2028,Remove cherry laurel from…and snowberry along the banks of the River Slaney,"Remove invasive species from the site, adhering to correct removal methods to reduce risk of spread",Obj.1,*,All
216,Habitat creation,Local Area,"Tullow, Carlow",Tullow Community Biodiversity Action Plan 2023-2028,Erect nesting boxes for solitary bees,Create nesting or food resources for pollinators/invertebrates,Obj.1,*,All
217,Habitat creation,Local Area,"Tullow, Carlow",Tullow Community Biodiversity Action Plan 2023-2028,Create suitable nesting sites for ground nesting solitary bees,Create nesting or food resources for pollinators/invertebrates,Obj.1,*,All
218,Management ,Local Area,"Tullow, Carlow",Tullow Community Biodiversity Action Plan 2023-2028,Sow whitethorn along the wall next to the footpath ,Manage in a biodiversity-friendly way - creating space for biodiversity,Obj.1,*,All
219,Habitat creation,Local Area,"Tullow, Carlow",Tullow Community Biodiversity Action Plan 2023-2028,Plant native Irish flowering trees along the towns entrance corridors,Create pockets of new habitat throughout the site,Obj.1,*,All
220,Management ,Local Area,"Tullow, Carlow",Tullow Community Biodiversity Action Plan 2023-2028,Train…in the dangers of herbicides,"Minimise the use of chemical pesticides, insecticides, herbicides, fungicides, rodenticides, etc. on site",Obj.1,*,All
221,Management ,Local Area,"Tullow, Carlow",Tullow Community Biodiversity Action Plan 2023-2028,Investigate and promote the use of non-chemical and alternative approaches to weed control,"Minimise the use of chemical pesticides, insecticides, herbicides, fungicides, rodenticides, etc. on site",Obj.1,*,All
222,Biodiversity awareness (external),Local Area,"Tullow, Carlow",Tullow Community Biodiversity Action Plan 2023-2028,Erect information boards at key points throughout Tullow which inform &  educate the public about the importance of biodiversity,Develop biodiversity signage on site to inform visitors of the biodiversity present,Obj.2,*,All
