Action_Code,Action type,Action,Interviewee,Feasibility,Cost,Cost Indexed,Benefit
MA,Management,Manage hedgerows in a biodiversity-friendly manner,H,90,L,1,90
MA,Management,Manage areas in a pollinator-friendly manner and report to the AIPP,H,100,L,1,90
MA,Management,"Minimise the use of chemical pesticides, insecticides, herbicides, fungicides, rodenticides, etc. on site",H,100,L,1,90
MA,Management,"Manage existing water features (ponds, lakes, rivers) in a biodiversity-friendly manner",H,100,L,1,90
MA,Management,Implement nature-based solutions around the site,H,85,L,1,85
MA,Management,Encourage farmers to engage with biodiversity-friendly management,H,100,L,1,100
MA,Management,Manage in a positive way for native species,H,85,L,1,90
MA,Management,Manage in a biodiversity-friendly way - creating space for biodiversity,H,100,L,1,90
MA,Management,Use a natural-capital accounting approach to manage land for biodiversity,H,100,M,2,90
RE,Restoration,Restore and improve wetland and waterbody habitats,H,90,M,2,85
RE,Restoration,Restore hedgerows around the site to improve ecological connectivity ,H,90,M,2,85
RE,Restoration,Restore and rehabilitate peatland habitats,H,90,M,2,85
RE,Restoration,Identify opportunities to restore habitats ,H,90,M,2,85
BE,Biodiversity awareness (external),Implement an education programme with local schools,I,100,L,1,50
BE,Biodiversity awareness (external),Develop a Biodiversity Communications strategy,I,100,M,2,50
BE,Biodiversity awareness (external),"Host/promote events for the community on biodiversity topics, e.g., talks & walks, tours, Heritage week, workshops, etc. ",I,100,L,1,50
BE,Biodiversity awareness (external),Work with the local community to promote biodiversity projects on site and within the local area,I,100,L,1,
BE,Biodiversity awareness (external),Develop biodiversity signage on site to inform visitors of the biodiversity present,I,100,M,2,25
BE,Biodiversity awareness (external),Develop walking trails or other visitor infrastructure to highlight biodiversity onsite,I,50,H,3,75
BE,Biodiversity awareness (external),Advertise and raise awareness of biodiversity actions within and beyond the sector ,I,100,M,2,50
AI,Biodiversity awareness (internal),Provide training to staff on biodiversity & best practice,I,100,M,2,75
AI,Biodiversity awareness (internal),Promote engagement with biodiversity with staff,I,100,L,1,75
AI,Biodiversity awareness (internal),Ensure biodiversity is incorporated into all aspects of work,I,100,M,2,75
BM,Biodiversity monitoring,Undertake surveys to identify habitats and species to understand what is on site,I,100,H,3,50
BM,Biodiversity monitoring,Establish monitoring for species/habitats that are under threat or keystone species,I,100,H,3,50
BM,Biodiversity monitoring,Monitor species in line with relevant Species Action Plans or Threat Response Plans,I,100,H,3,50
BM,Biodiversity monitoring,Monitor habitat condition to update ecosystem accounts ,I,100,H,3,50
CS,Citizen science,Establish/Engage the local community or volunteer group that are interested in biodiversity monitoring,I,75,M,2,50
CS,Citizen science,Involve citizen scientists in monitoring of habitats/species,I,50,M,2,50
CS,Citizen science,"Promote initiatives that involve citizen science, especially involving the local community",I,100,M,2,75
DM,Data management,Provide a central database for biodiversity data to be stored and easily accessed,I,100,H,3,75
DM,Data management,Submit data to the National Biodiversity Data Centre and other relevant organisations,I,100,M,2,75
DM,Data management,Ensure data collected meets data standards and follows relevant guidelines,I,100,M,2,75
DM,Data management,Make use of open biodiversity data to inform decisions ,I,100,L,1,75
HC,Habitat creation,Create nesting or food resources for pollinators/invertebrates,I,100,M,2,50
HC,Habitat creation,Create habitat corridors between existing habitats,I,100,M,2,75
HC,Habitat creation,Create pockets of new habitat throughout the site,I,100,M,2,75
HC,Habitat creation,Create/Improve pond habitats,I,100,M,2,75
IS,Invasive species,Identify and map the locations of invasive species,I,75,H,3,75
IS,Invasive species,"Remove invasive species from the site, adhering to correct removal methods to reduce risk of spread",I,50,H,3,75
IS,Invasive species,Develop a plan for monitoring and managing invasive species,I,100,M,2,25
IS,Invasive species,Raise awareness of invasive species and keep up to date on updates from NBDC,I,100,M,2,25
MA,Management,Manage hedgerows in a biodiversity-friendly manner,I,100,L,1,50
MA,Management,Manage areas in a pollinator-friendly manner and report to the AIPP,I,75,M,2,75
MA,Management,"Minimise the use of chemical pesticides, insecticides, herbicides, fungicides, rodenticides, etc. on site",I,75,M,2,75
MA,Management,"Manage existing water features (ponds, lakes, rivers) in a biodiversity-friendly manner",I,100,M,2,75
MA,Management,Implement nature-based solutions around the site,I,75,M,2,50
MA,Management,Encourage farmers to engage with biodiversity-friendly management,I,25,L,1,25
MA,Management,Manage in a positive way for native species,I,100,M,2,75
MA,Management,Manage in a biodiversity-friendly way - creating space for biodiversity,I,100,M,2,75
MA,Management,Use a natural-capital accounting approach to manage land for biodiversity,I,50,M,2,50
RE,Restoration,Restore and improve wetland and waterbody habitats,I,100,M,2,100
RE,Restoration,Restore hedgerows around the site to improve ecological connectivity ,I,100,M,2,100
RE,Restoration,Restore and rehabilitate peatland habitats,I,90,M,2,100
RE,Restoration,Identify opportunities to restore habitats ,I,100,L,1,100
